Level ID,Level Name,Type,Name,Details,Location,Location hints
1,Tutorial,Largest Cache,Army Cache,400,Bonus: Oceania,
1,Tutorial,Largest Cache,Army Cache,421,Territory: Congo,Part of bonuses: Africa
1,Tutorial,Largest Cache,Army Cache,451,Territory: Alaska,Part of bonuses: North America
1,Tutorial,Largest Cache,Army Cache,500,Bonus: Asia,
1,Tutorial,Largest Cache,Army Cache,537,Territory: Yakutsk,Part of bonuses: Asia
1,Tutorial,Largest Cache,Money Cache,700,Bonus: North America,
1,Tutorial,Largest Cache,Money Cache,800,Bonus: Oceania,
1,Tutorial,Largest Cache,Money Cache,972,Territory: Alaska,Part of bonuses: North America
1,Tutorial,Largest Cache,Money Cache,1.0K,Bonus: Asia,
1,Tutorial,Largest Cache,Money Cache,1.6K,Territory: Yakutsk,Part of bonuses: Asia
1,Tutorial,Largest Territories,Territory Cost,"503 (JS, TS, QS)",Territory: Great Britain,Part of bonuses: Europe
1,Tutorial,Largest Territories,Territory Cost,"546 (JS, TS)",Territory: Alaska,Part of bonuses: North America
1,Tutorial,Largest Territories,Territory Cost,"561 (JS, TS)",Territory: Yakutsk,Part of bonuses: Asia
1,Tutorial,Largest Territories,Territory Cost,"633 (JS, TS, QS)",Territory: Northwest Territory,Part of bonuses: North America
1,Tutorial,Largest Territories,Territory Cost,"787 (JS, TS, QS)",Territory: Mongolia,Part of bonuses: Asia
1,Tutorial,Mercenary Camp,Proddium,Base mercs: 2.0K; Base cost: 4.02,Territory: India,Part of bonuses: Asia
1,Tutorial,Meta,Total Armies Required,10.4K,,
1,Tutorial,Meta,Total Base Army Caches,3.0K,,
1,Tutorial,Meta,Total Base Mercenaries,2.0K,,
1,Tutorial,Meta,Total Base Mercenaries Costs,8.1K,,
1,Tutorial,Meta,Total Base Money Caches,6.4K,,
1,Tutorial,Meta,Total Base Money Generation Per Sec,10,,
1,Tutorial,Meta,Total Hospitals Save per Terr,0,,
1,Tutorial,Meta,Total Hospitals Upgrade Costs,0,,
1,Tutorial,Meta,Total Powers Available,,,
1,Tutorial,Meta,Total Territories,42,,
1,Tutorial,Recipe,Copper Bar,Requires: Copper x104,Territory: Ukraine,Part of bonuses: Europe
1,Tutorial,Recipe,Tin Bar,Requires: Tin x528,Territory: Greenland,Part of bonuses: North America
2,Huruey's Castle,Hospital,Hospital00,Base armies saved: 80.1K; Upgrade costs: 90.5M,Territory: Tower North 7,"Part of bonuses: Tower North, Castle"
2,Huruey's Castle,Largest Cache,Army Cache,1.4M,Territory: Tower East 3,"Part of bonuses: Tower East, Castle"
2,Huruey's Castle,Largest Cache,Army Cache,2.0M,Bonus: Tower North,Part of bonuses: Castle
2,Huruey's Castle,Largest Cache,Army Cache,318.9K,Territory: Tower West 5,"Part of bonuses: Tower West, Castle"
2,Huruey's Castle,Largest Cache,Army Cache,47.0K,Territory: Courtyard 10,"Part of bonuses: Courtyard, Courtyard Tree"
2,Huruey's Castle,Largest Cache,Army Cache,79.2K,Territory: Castle Gate,"Part of bonuses: Courtyard, Courtyard East"
2,Huruey's Castle,Largest Cache,Money Cache,1.6M,Territory: Stepping Stone 2,"Part of bonuses: Courtyard, Stepping Stones"
2,Huruey's Castle,Largest Cache,Money Cache,14.9M,Bonus: Tower West,Part of bonuses: Castle
2,Huruey's Castle,Largest Cache,Money Cache,18.4M,Territory: Tower East 1,"Part of bonuses: Tower East, Castle"
2,Huruey's Castle,Largest Cache,Money Cache,50.2M,Bonus: Tower East,Part of bonuses: Castle
2,Huruey's Castle,Largest Cache,Money Cache,6.0M,Bonus: Courtyard,
2,Huruey's Castle,Largest Territories,Territory Cost,1.2M (JS),Territory: Passage 3,Part of bonuses: Underground Passage
2,Huruey's Castle,Largest Territories,Territory Cost,"1.3M (JS, TS)",Territory: Tower North 2,"Part of bonuses: Tower North, Castle"
2,Huruey's Castle,Largest Territories,Territory Cost,1.5M (JS),Territory: Castle Wall 3,"Part of bonuses: Castle Wall, Castle"
2,Huruey's Castle,Largest Territories,Territory Cost,"1.6M (JS, TS)",Territory: Tower East 1,"Part of bonuses: Tower East, Castle"
2,Huruey's Castle,Largest Territories,Territory Cost,3.5M (JS),Territory: Castle Wall 4,"Part of bonuses: Castle Wall, Castle"
2,Huruey's Castle,Mercenary Camp,MercenaryCamp000,Base mercs: 636.6K; Base cost: 26.19,Territory: Village 6,"Part of bonuses: Campfire, The West, Village"
2,Huruey's Castle,Mercenary Camp,MercenaryCamp001,Base mercs: 3.0M; Base cost: 117.66,Territory: Castle Bridge 4,"Part of bonuses: Castle Bridge, Castle"
2,Huruey's Castle,Meta,Total Armies Required,21.5M,,
2,Huruey's Castle,Meta,Total Base Army Caches,3.8M,,
2,Huruey's Castle,Meta,Total Base Mercenaries,3.6M,,
2,Huruey's Castle,Meta,Total Base Mercenaries Costs,364.0M,,
2,Huruey's Castle,Meta,Total Base Money Caches,92.9M,,
2,Huruey's Castle,Meta,Total Base Money Generation Per Sec,12.1K,,
2,Huruey's Castle,Meta,Total Hospitals Save per Terr,152.1K,,
2,Huruey's Castle,Meta,Total Hospitals Upgrade Costs,90.5M,,
2,Huruey's Castle,Meta,Total Powers Available,FCx1,,
2,Huruey's Castle,Meta,Total Territories,104,,
2,Huruey's Castle,Recipe,Copper Bar,Requires: Copper x236,Territory: Hut 3,"Part of bonuses: The West, Hut, Village"
2,Huruey's Castle,Recipe,Iron Bar,Requires: Iron x336,Territory: Castle Wall 3,"Part of bonuses: Castle Wall, Castle"
2,Huruey's Castle,Recipe,Tin Bar,Requires: Tin x274,Territory: Stepping Stone 4,"Part of bonuses: Courtyard, Stepping Stones"
2,Huruey's Castle,Tech Recipe,!MS: Basic Marketing,Requires: Copper Bar x498,,
2,Huruey's Castle,Tech Recipe,!MS: Faster Smelters,"Requires: Tin Bar x184, Copper Bar x747",,
2,Huruey's Castle,Tech Recipe,!MS: Intern Salesman,Requires: Tin Bar x561,,
2,Huruey's Castle,Tech Recipe,Barehand Mining,Requires: Copper Bar x173,,
2,Huruey's Castle,Tech Recipe,Drafting,Requires: Copper Bar x31,,
3,Floating Rocks,Dig Sites,Dig Site 210908252,Cost: 210.9M; Time: 8 hours; Type: c100,Territory: Karafuu,Part of bonuses: Mayatou
3,Floating Rocks,Hospital,Hospital00,"Base armies saved: 53.0K; Upgrade costs: 31.5M, 208.1M",Territory: Pata,Part of bonuses: Gaya-Dari
3,Floating Rocks,Largest Cache,Army Cache,1.1M,Bonus: Nirimba,
3,Floating Rocks,Largest Cache,Army Cache,1.6M,Territory: Farasi,Part of bonuses: Gilgandra
3,Floating Rocks,Largest Cache,Army Cache,1.8M,Territory: Ngawa,Part of bonuses: Pinyerrel
3,Floating Rocks,Largest Cache,Army Cache,348.4K,Bonus: Coreen,
3,Floating Rocks,Largest Cache,Army Cache,975.5K,Territory: Punda,Part of bonuses: Aroona
3,Floating Rocks,Largest Cache,Money Cache,15.1M,Territory: Mindimu,Part of bonuses: Orapurra
3,Floating Rocks,Largest Cache,Money Cache,24.2M,Territory: Tofaa,Part of bonuses: Kityikana
3,Floating Rocks,Largest Cache,Money Cache,24.5M,Territory: Tumbiri,Part of bonuses: Julana
3,Floating Rocks,Largest Cache,Money Cache,40.7M,Bonus: Pinyerrel,
3,Floating Rocks,Largest Cache,Money Cache,47.3M,Territory: Pofu,Part of bonuses: Aroona
3,Floating Rocks,Largest Territories,Territory Cost,"1.7M (JS, TS)",Territory: Nyani,Part of bonuses: Dederang
3,Floating Rocks,Largest Territories,Territory Cost,"2.2M (JS, TS, QS)",Territory: Ngawa,Part of bonuses: Pinyerrel
3,Floating Rocks,Largest Territories,Territory Cost,"2.2M (JS, TS, QS)",Territory: Tumbiri,Part of bonuses: Julana
3,Floating Rocks,Largest Territories,Territory Cost,"3.5M (JS, TS, QS)",Territory: Farasi,Part of bonuses: Gilgandra
3,Floating Rocks,Largest Territories,Territory Cost,"4.8M (JS, TS)",Territory: Pofu,Part of bonuses: Aroona
3,Floating Rocks,Mercenary Camp,MercenaryCamp000,Base mercs: 438.7K; Base cost: 17.20,Territory: Bambara,Part of bonuses: Barramutha
3,Floating Rocks,Mercenary Camp,MercenaryCamp001,Base mercs: 3.1M; Base cost: 116.87,Territory: Kungumanga,Part of bonuses: Tarrawonga
3,Floating Rocks,Mercenary Camp,MercenaryCamp002,Base mercs: 4.7M; Base cost: 133.86,Territory: Simba,Part of bonuses: Aljembe
3,Floating Rocks,Meta,Total Armies Required,49.0M,,
3,Floating Rocks,Meta,Total Base Army Caches,5.9M,,
3,Floating Rocks,Meta,Total Base Mercenaries,8.2M,,
3,Floating Rocks,Meta,Total Base Mercenaries Costs,990.7M,,
3,Floating Rocks,Meta,Total Base Money Caches,170.6M,,
3,Floating Rocks,Meta,Total Base Money Generation Per Sec,23.6K,,
3,Floating Rocks,Meta,Total Hospitals Save per Terr,191.4K,,
3,Floating Rocks,Meta,Total Hospitals Upgrade Costs,239.6M,,
3,Floating Rocks,Meta,Total Powers Available,TWx1,,
3,Floating Rocks,Meta,Total Territories,150,,
3,Floating Rocks,Recipe,Copper Bar,Requires: Copper x331,Territory: Baobab,Part of bonuses: Yarrabee
3,Floating Rocks,Recipe,Iron Bar,Requires: Iron x473,Territory: Chungwa,Part of bonuses: Quarrian
3,Floating Rocks,Recipe,Tin Bar,Requires: Tin x385,Territory: Mwenye,Part of bonuses: Thempi
3,Floating Rocks,Tech Recipe,!MS: Basic Marketing,"Requires: Tin Bar x31, Copper Bar x278",,
3,Floating Rocks,Tech Recipe,!MS: Faster Smelters,"Requires: Tin Bar x75, Copper Bar x474",,
3,Floating Rocks,Tech Recipe,!MS: Intern Salesman,Requires: Tin Bar x219,,
3,Floating Rocks,Tech Recipe,Barehand Mining,Requires: Copper Bar x115,,
3,Floating Rocks,Tech Recipe,Basic Recruitment,"Requires: Iron Bar x67, Tin Bar x364",,
3,Floating Rocks,Tech Recipe,Drafting,Requires: Copper Bar x31,,
3,Floating Rocks,Tech Recipe,Pickaxes,"Requires: Iron Bar x137, Copper Bar x1.1K",,
3,Floating Rocks,Tech Recipe,Torches,"Requires: Iron Bar x331, Tin Bar x771",,
4,War Of The Worlds,Dig Sites,Dig Site 31295615,Cost: 31.3M; Time: 26 hours; Type: c45 u55,Territory: Poland,"Part of bonuses: North East Europe, Europe, European Union"
4,War Of The Worlds,Hospital,Hospital00,"Base armies saved: 59.0K; Upgrade costs: 2.0M, 11.2M, 61.2M",Territory: Spain,"Part of bonuses: West Europe, Europe, Spain, European Union"
4,War Of The Worlds,Largest Cache,Army Cache,1.2M,Territory: Hungary,"Part of bonuses: North East Europe, Europe, European Union"
4,War Of The Worlds,Largest Cache,Army Cache,1.4M,Territory: Taiwan,"Part of bonuses: Far East, Asia"
4,War Of The Worlds,Largest Cache,Army Cache,2.0M,Territory: Yamalia,"Part of bonuses: North West Siberia, Asia, Siberia, Russia"
4,War Of The Worlds,Largest Cache,Army Cache,2.2M,Territory: Krasnoyarsk,"Part of bonuses: South West Siberia, Asia, Siberia, Russia"
4,War Of The Worlds,Largest Cache,Army Cache,5.2M,Bonus: Near East,
4,War Of The Worlds,Largest Cache,Money Cache,12.1M,Territory: Uzbekistan,"Part of bonuses: Central Asia, Asia"
4,War Of The Worlds,Largest Cache,Money Cache,4.1M,Territory: Jiangxi,"Part of bonuses: East China, Asia, China"
4,War Of The Worlds,Largest Cache,Money Cache,5.9M,Bonus: Far East,Part of bonuses: Asia
4,War Of The Worlds,Largest Cache,Money Cache,7.1M,Territory: South Nei Mongol,"Part of bonuses: Asia, China, Inner Mongolia"
4,War Of The Worlds,Largest Cache,Money Cache,8.0M,Territory: Tuva,"Part of bonuses: South West Siberia, Asia, Siberia, Russia"
4,War Of The Worlds,Largest Territories,Territory Cost,"4.0M (JS, TS)",Territory: Turkmenistan,"Part of bonuses: Central Asia, Asia"
4,War Of The Worlds,Largest Territories,Territory Cost,"4.0M (JS, TS, QS)",Territory: Jiangxi,"Part of bonuses: East China, Asia, China"
4,War Of The Worlds,Largest Territories,Territory Cost,"4.3M (JS, TS)",Territory: Tuva,"Part of bonuses: South West Siberia, Asia, Siberia, Russia"
4,War Of The Worlds,Largest Territories,Territory Cost,"4.4M (JS, TS, QS)",Territory: Yamalia,"Part of bonuses: North West Siberia, Asia, Siberia, Russia"
4,War Of The Worlds,Largest Territories,Territory Cost,"5.4M (JS, TS, QS)",Territory: Uzbekistan,"Part of bonuses: Central Asia, Asia"
4,War Of The Worlds,Mercenary Camp,MercenaryCamp000,Base mercs: 605.2K; Base cost: 6.14,Territory: Idaho,"Part of bonuses: North America, United States, North West States"
4,War Of The Worlds,Mercenary Camp,MercenaryCamp001,Base mercs: 5.4M; Base cost: 6.53,Territory: Portugal,"Part of bonuses: West Europe, Europe, European Union"
4,War Of The Worlds,Mercenary Camp,MercenaryCamp002,Base mercs: 9.0M; Base cost: 16.32,Territory: Primorsky,"Part of bonuses: Asia, South Central Siberia, Siberia, Russia"
4,War Of The Worlds,Meta,Total Armies Required,90.5M,,
4,War Of The Worlds,Meta,Total Base Army Caches,12.7M,,
4,War Of The Worlds,Meta,Total Base Mercenaries,15.1M,,
4,War Of The Worlds,Meta,Total Base Mercenaries Costs,186.6M,,
4,War Of The Worlds,Meta,Total Base Money Caches,48.4M,,
4,War Of The Worlds,Meta,Total Base Money Generation Per Sec,3.9K,,
4,War Of The Worlds,Meta,Total Hospitals Save per Terr,404.4K,,
4,War Of The Worlds,Meta,Total Hospitals Upgrade Costs,74.5M,,
4,War Of The Worlds,Meta,Total Powers Available,SACx1,,
4,War Of The Worlds,Meta,Total Territories,163,,
